gender,category,grade_10,grade_12,graduation_score,graduation_type,admission_test_score,work_exp_months,IIM_A,IIM_B,IIM_C,IIM_I,IIM_K,IIM_L
Male,General,82,86.5,77.4,Engineer,92.43,30,0,0,0,0,0,0
Female,General,95,95.6,85.4,Engineer,94.29,16,0,0,0,0,1,0
Female,General,93.1,91.6,79.2,Non-Engineer,92.52,4,0,0,0,0,0,0
Male,General,91.8,89.7,80.7,Non-Engineer,96.57,0,0,0,0,0,0,0
Female,General,96,86.2,92.4,Non-Engineer,91,0,0,0,0,0,0,0
Male,General,87.4,92.6,79.9,Engineer,99.63,21,0,0,1,0,0,0
Male,NC_OBC,99.3,89.7,73.6,Engineer,95.01,25,0,1,0,1,1,1
Male,General,95,86.8,71.1,Engineer,99.26,26,0,0,0,0,0,0
Male,General,87.4,79.6,70.1,Engineer,99.22,28,0,0,0,0,0,1
Female,NC_OBC,85.5,84.3,70.9,Non-Engineer,91.5,14,0,0,0,0,1,0
Male,General,93.7,95.3,63.7,Engineer,99.97,1,1,1,1,0,1,0
Female,General,95,83.6,75.8,Engineer,76.67,9,0,0,0,0,0,0
Male,General,86,71.7,89.6,Engineer,92.31,33,0,0,0,0,0,0
Male,General,85.7,82.7,77.9,Engineer,70.9,25,0,0,0,0,0,0
Female,General,81.7,80.4,68,Non-Engineer,39.17,20,0,0,0,0,0,0
Female,General,87.4,80.2,87.1,Non-Engineer,70.07,12,0,0,0,0,0,0
Male,General,89.3,90.8,77,Non-Engineer,95.01,0,0,0,0,0,0,0
Male,General,76,87.8,79.3,Non-Engineer,76.43,0,0,0,0,0,0,0
Male,NC_OBC,70.3,85.2,58.9,Engineer,94.52,24,0,0,0,0,0,1
Male,General,87.4,86.2,73.5,Engineer,95.69,35,0,0,0,0,0,0
Male,NC_OBC,89.3,88,83,Engineer,93.21,26,0,1,0,1,1,1
Female,General,91.8,92.8,90,Non-Engineer,97.53,0,0,0,0,1,0,0
Female,General,97,97,87.5,Non-Engineer,93.18,12,0,0,0,0,0,0
Female,General,86.9,80.4,85.9,Engineer,96.66,29,0,0,0,0,1,1
Female,General,87.9,87.4,74.3,Non-Engineer,79.44,20,0,0,0,0,0,0
Male,NC_OBC,88,95,78,Non-Engineer,80.73,23,1,0,0,0,1,0
Female,General,95,88.2,74.5,Engineer,93.33,27,0,0,0,0,1,0
Female,General,91.2,95.6,70.8,Non-Engineer,94.87,23,0,1,0,1,1,1
Female,General,95,93.6,76.4,Non-Engineer,90.1,11,0,0,0,0,0,0
Male,General,80.8,81.3,61,Non-Engineer,94.4,0,0,0,0,0,0,0
Female,General,92.2,90.2,77.9,Non-Engineer,80.21,0,0,0,0,0,0,0
Male,General,91.7,82.6,66.3,Non-Engineer,96.34,0,0,0,0,0,0,0
Male,General,83.6,86,77.3,Non-Engineer,93.91,0,0,0,0,0,0,0
Female,General,91.2,86.8,76,Non-Engineer,86.72,0,0,0,0,0,0,0
Female,General,95,90.2,77,Non-Engineer,96.16,0,0,0,0,0,0,0
Male,General,91.2,98.6,85.7,Engineer,86.2,25,0,0,0,0,0,0
Male,NC_OBC,78,73,59,Non-Engineer,91.08,0,0,0,0,0,0,0
Female,General,95,95,81.7,Non-Engineer,94.46,9,0,0,0,1,1,0
Male,General,66.5,93.8,57.4,Non-Engineer,99.14,0,0,0,0,0,0,0
Female,General,89.3,93.2,79,Non-Engineer,92.97,0,0,0,0,0,0,0
Female,General,95,91.3,79.2,Engineer,64.35,24,0,0,0,0,0,0
Male,General,95,95,78.8,Non-Engineer,81.52,0,0,0,0,0,0,0
Male,General,95,87.8,70.1,Non-Engineer,95.7,1,0,0,0,0,0,0
Male,General,88.7,86.3,87.6,Engineer,86.53,37,0,0,0,0,0,0
Male,NC_OBC,89.3,79,65.6,Non-Engineer,90.45,13,0,0,0,0,0,0
Male,General,91.9,84.3,67.2,Non-Engineer,98.44,31,1,0,0,0,0,0
Male,General,95,98,82.5,Non-Engineer,99.92,0,1,1,1,1,1,0
Male,NC_OBC,92.1,91.5,83,Engineer,98.35,20,1,1,0,0,0,0
Male,General,91.2,92.6,78.7,Non-Engineer,99.12,0,0,0,0,0,1,0
Female,General,95,95.4,86.8,Non-Engineer,96.92,0,0,0,0,1,1,1
Male,General,77.9,91.6,75.4,Non-Engineer,99.02,0,0,0,0,0,0,0
Female,NC_OBC,95,80.2,84.5,Engineer,74.21,12,0,0,0,0,0,0
Male,SC,95,81.8,70.1,Engineer,92.91,24,1,0,0,0,0,1
Female,General,89.4,85.2,74.1,Engineer,88.13,14,0,0,0,0,0,0
Female,General,87.4,91.4,79.5,Non-Engineer,91.93,12,0,0,0,0,0,0
Male,General,78.8,84.2,63.1,Non-Engineer,99.44,0,0,0,0,0,1,0
Female,General,87.6,92.5,88.8,Non-Engineer,97.87,15,0,0,0,1,0,0
Female,General,83.6,86.6,73.8,Non-Engineer,84.98,15,0,0,0,0,0,0
